bits,nu,mu,tu,unroll,p,gs,time
4,1,16,16,1,6,-1,532754
4,1,16,16,2,6,-1,310502
4,1,16,16,4,6,-1,529824
4,1,16,16,8,6,-1,283026
3,1,16,16,5,6,-1,2.14748e+09
2,1,16,16,1,6,-1,590260
2,1,16,16,2,6,-1,365449
2,1,16,16,4,6,-1,342997
2,1,16,16,8,6,-1,326278
4,1,16,16,1,6,64,386529
4,1,16,16,2,6,64,388888
4,1,16,16,4,6,64,368259
4,1,16,16,8,6,64,356769
3,1,16,16,5,6,64,362026
2,1,16,16,1,6,64,344724
2,1,16,16,2,6,64,593367
2,1,16,16,4,6,64,345049
2,1,16,16,8,6,64,349000
4,1,16,32,1,6,-1,530997
4,1,16,32,2,6,-1,302205
4,1,16,32,4,6,-1,299203
4,1,16,32,8,6,-1,303067
3,1,16,32,5,6,-1,2.14748e+09
2,1,16,32,1,6,-1,333832
2,1,16,32,2,6,-1,330983
2,1,16,32,4,6,-1,324547
2,1,16,32,8,6,-1,328582
4,1,16,32,1,6,64,301624
4,1,16,32,2,6,64,305825
4,1,16,32,4,6,64,323551
4,1,16,32,8,6,64,341490
3,1,16,32,5,6,64,340822
2,1,16,32,1,6,64,312249
2,1,16,32,2,6,64,572168
2,1,16,32,4,6,64,580944
2,1,16,32,8,6,64,331342
